var,mean,sd,p10,median,p90,N
Partisan tilt,-0.047,0.978,-1.000,-0.805,1.000,"447,026"
Republican share,0.476,0.489,0.000,0.098,1.000,"447,026"
Total donations (USD),"1,827","78,783",3,400,"3,092","447,026"
CF-weighted ideology,0.105,0.999,-1.071,-0.017,1.332,"447,026"
Contributor CFscore,0.136,0.985,-1.026,0.097,1.354,"447,026"
